gender,price,age,interest,value
1,150000,17,2,0
0,200000,18,3,0
1,300000,17,4,0
1,100000,18,1,0
0,250000,18,3,0
1,120000,18,2,0
0,130000,18,1,0
1,450000,23,5,0
0,135000,20,2,0
1,120000,19,1,0
0,310000,17,4,0
1,110000,27,5,1
1,120000,18,1,0
0,120000,23,4,1
0,150000,19,1,0
1,100000,18,4,0
0,450000,22,3,0
1,430000,20,4,0
0,360000,18,3,0
0,300000,17,3,0
1,100000,16,1,0
0,50000,31,3,1
0,120000,24,4,1
1,340000,23,3,0
0,150000,17,2,1
1,540000,19,5,0
0,200000,18,2,0
0,250000,21,3,0
1,130000,16,4,1
0,160000,18,4,1
1,180000,19,5,1
1,230000,22,3,0
0,460000,26,3,0
